time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.ID_0,.x0,.y0,.z0,.ID_1,.x1,.y1,.z1,.ID_2,.x2,.y2,.z2,.ID_3,.x3,.y3,.z3,.ID_4,.x4,.y4,.z4,.ID_5,.x5,.y5,.z5,.ID_6,.x6,.y6,.z6,.ID_7,.x7,.y7,.z7
2022/02/26/23:59:25.428315,5702,1645937965,427984952,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.181181237102,0.12282384932,0.148534491658,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.360053241253,0.275351643562,0.106485448778
2022/02/26/23:59:25.561061,5703,1645937965,560657024,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.179012715816,0.124035909772,0.150620773435,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.357023566961,0.277334690094,0.108081415296
2022/02/26/23:59:25.700660,5704,1645937965,700309991,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.177279174328,0.125148296356,0.1519395262,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.354831814766,0.278729140759,0.109016187489
2022/02/26/23:59:25.830962,5705,1645937965,830646038,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.175908178091,0.126059353352,0.152873337269,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.352920055389,0.280005544424,0.109555408359
2022/02/26/23:59:25.968609,5706,1645937965,967370033,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.174779593945,0.126376703382,0.15422873199,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.351755768061,0.280175149441,0.110655151308
2022/02/26/23:59:26.109094,5707,1645937966,108719110,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.173468098044,0.127722427249,0.155119806528,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.350533634424,0.281357526779,0.111940041184
2022/02/26/23:59:26.240297,5708,1645937966,239893913,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.172207847238,0.129403829575,0.15557384491,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.349615514278,0.282752901316,0.112973839045
2022/02/26/23:59:26.375426,5709,1645937966,374840021,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.171467334032,0.130483463407,0.155552729964,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.349459260702,0.283435434103,0.113838747144
2022/02/26/23:59:26.515423,5710,1645937966,514132976,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.169883191586,0.133655413985,0.154597431421,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.34832200408,0.286492079496,0.114134520292
2022/02/26/23:59:26.652469,5711,1645937966,651865959,,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.168639391661,0.136218696833,0.153386309743,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,0.347652107477,0.288664758205,0.113432630897
